"ID;""StatusVanBewoning"";""RegioS"";""Perioden"";""TotaleWoningvoorraad_1"";""Koopwoningen_2"";""TotaalHuurwoningen_3"";""EigendomWoningcorporatie_4"";""EigendomOverigeVerhuurders_5"";""EigendomOnbekend_6"""
"305;""T001235"";""CR22  "";""2013JJ00"";""   72622"";""   38562"";""   33934"";""   28745"";""    5189"";""     126"""
"306;""T001235"";""CR22  "";""2014JJ00"";""   73249"";""   38920"";""   34111"";""   28436"";""    5675"";""     218"""
"307;""T001235"";""CR22  "";""2015JJ00"";""   73245"";""   39270"";""   33888"";""   28112"";""    5776"";""      87"""
"308;""T001235"";""CR22  "";""2016JJ00"";""   73645"";""   39739"";""   33663"";""   27895"";""    5768"";""     243"""
"309;""T001235"";""CR22  "";""2017JJ00"";""   74240"";""   40121"";""   33886"";""   27818"";""    6068"";""     233"""
"310;""T001235"";""CR22  "";""2018JJ00"";""   74828"";""   41253"";""   33300"";""   27765"";""    5535"";""     275"""
"312;""T001235"";""CR23  "";""2012JJ00"";""  621572"";""  239789"";""  371586"";""  244873"";""  126713"";""   10197"""
"313;""T001235"";""CR23  "";""2013JJ00"";""  624834"";""  244052"";""  373039"";""  243290"";""  129749"";""    7743"""
"314;""T001235"";""CR23  "";""2014JJ00"";""  630576"";""  247190"";""  376165"";""  242458"";""  133707"";""    7221"""
"315;""T001235"";""CR23  "";""2015JJ00"";""  632971"";""  249672"";""  379216"";""  247475"";""  131741"";""    4083"""
"316;""T001235"";""CR23  "";""2016JJ00"";""  642104"";""  253738"";""  382410"";""  242686"";""  139724"";""    5956"""
"317;""T001235"";""CR23  "";""2017JJ00"";""  644368"";""  255539"";""  384148"";""  239962"";""  144186"";""    4681"""
"318;""T001235"";""CR23  "";""2018JJ00"";""  650678"";""  259769"";""  386646"";""  241834"";""  144812"";""    4263"""
"320;""T001235"";""CR24  "";""2012JJ00"";""  109779"";""   64901"";""   44461"";""   31928"";""   12533"";""     417"""
"321;""T001235"";""CR24  "";""2013JJ00"";""  111370"";""   65547"";""   45316"";""   32028"";""   13288"";""     507"""
"322;""T001235"";""CR24  "";""2014JJ00"";""  113371"";""   65697"";""   46147"";""   31653"";""   14494"";""    1527"""
"323;""T001235"";""CR24  "";""2015JJ00"";""  113978"";""   66209"";""   46153"";""   31638"";""   14515"";""    1616"""
"324;""T001235"";""CR24  "";""2016JJ00"";""  114417"";""   66788"";""   46080"";""   31380"";""   14700"";""    1549"""
"325;""T001235"";""CR24  "";""2017JJ00"";""  115819"";""   67318"";""   46714"";""   31273"";""   15441"";""    1787"""
"326;""T001235"";""CR24  "";""2018JJ00"";""  116820"";""   68465"";""   46598"";""   31222"";""   15376"";""    1757"""
"328;""T001235"";""CR25  "";""2012JJ00"";""  176485"";""  103101"";""   71530"";""   49942"";""   21588"";""    1854"""
"329;""T001235"";""CR25  "";""2013JJ00"";""  178368"";""  103828"";""   73244"";""   50708"";""   22536"";""    1296"""
"330;""T001235"";""CR25  "";""2014JJ00"";""  180355"";""  104154"";""   74288"";""   50716"";""   23572"";""    1913"""
"331;""T001235"";""CR25  "";""2015JJ00"";""  181360"";""  105898"";""   73784"";""   51144"";""   22640"";""    1678"""
"332;""T001235"";""CR25  "";""2016JJ00"";""  184115"";""  107132"";""   74975"";""   50896"";""   24079"";""    2008"""
"333;""T001235"";""CR25  "";""2017JJ00"";""  186529"";""  108306"";""   75998"";""   51166"";""   24832"";""    2225"""
"334;""T001235"";""CR25  "";""2018JJ00"";""  187979"";""  109089"";""   76776"";""   50915"";""   25861"";""    2114"""
"336;""T001235"";""CR26  "";""2012JJ00"";""  386048"";""  185469"";""  196462"";""  125878"";""   70584"";""    4117"""
"337;""T001235"";""CR26  "";""2013JJ00"";""  390701"";""  186407"";""  199488"";""  126732"";""   72756"";""    4806"""
"338;""T001235"";""CR26  "";""2014JJ00"";""  397755"";""  187153"";""  203075"";""  126622"";""   76453"";""    7527"""
"339;""T001235"";""CR26  "";""2015JJ00"";""  399821"";""  188139"";""  204559"";""  127332"";""   77227"";""    7123"""
"340;""T001235"";""CR26  "";""2016JJ00"";""  402939"";""  189393"";""  206014"";""  125606"";""   80408"";""    7532"""
"341;""T001235"";""CR26  "";""2017JJ00"";""  405971"";""  191412"";""  208702"";""  125422"";""   83280"";""    5857"""
"342;""T001235"";""CR26  "";""2018JJ00"";""  408338"";""  192139"";""  210127"";""  124771"";""   85356"";""    6072"""
"344;""T001235"";""CR27  "";""2012JJ00"";""   95991"";""   49787"";""   45231"";""   35380"";""    9851"";""     973"""
"345;""T001235"";""CR27  "";""2013JJ00"";""   96795"";""   50497"";""   45637"";""   35216"";""   10421"";""     661"""
"346;""T001235"";""CR27  "";""2014JJ00"";""   97579"";""   50811"";""   46104"";""   35275"";""   10829"";""     664"""
"347;""T001235"";""CR27  "";""2015JJ00"";""   99116"";""   51691"";""   46757"";""   36693"";""   10064"";""     668"""
"348;""T001235"";""CR27  "";""2016JJ00"";""   99898"";""   52440"";""   46662"";""   36548"";""   10114"";""     796"""
"349;""T001235"";""CR27  "";""2017JJ00"";""  100752"";""   52581"";""   47448"";""   36548"";""   10900"";""     723"""
"350;""T001235"";""CR27  "";""2018JJ00"";""  101327"";""   53162"";""   47508"";""   35016"";""   12492"";""     657"""
"352;""T001235"";""CR28  "";""2012JJ00"";""  122399"";""   75908"";""   45805"";""   34269"";""   11536"";""     686"""
"353;""T001235"";""CR28  "";""2013JJ00"";""  123787"";""   76702"";""   46562"";""   34654"";""   11908"";""     523"""
"354;""T001235"";""CR28  "";""2014JJ00"";""  125372"";""   77441"";""   47196"";""   34912"";""   12284"";""     735"""
"355;""T001235"";""CR28  "";""2015JJ00"";""  136298"";""   84440"";""   51004"";""   37929"";""   13075"";""     854"""
"356;""T001235"";""CR28  "";""2016JJ00"";""  137258"";""   85498"";""   50900"";""   37726"";""   13174"";""     860"""
"357;""T001235"";""CR28  "";""2017JJ00"";""  138937"";""   86472"";""   51493"";""   37910"";""   13583"";""     972"""
"358;""T001235"";""CR28  "";""2018JJ00"";""  140730"";""   88029"";""   51780"";""   37884"";""   13896"";""     921"""
"360;""T001235"";""CR29  "";""2012JJ00"";""  653552"";""  308021"";""  338935"";""  259519"";""   79416"";""    6596"""
"361;""T001235"";""CR29  "";""2013JJ00"";""  657097"";""  311134"";""  341418"";""  257988"";""   83430"";""    4545"""
"362;""T001235"";""CR29  "";""2014JJ00"";""  662068"";""  313504"";""  343208"";""  256358"";""   86850"";""    5356"""
"363;""T001235"";""CR29  "";""2015JJ00"";""  657510"";""  309360"";""  341339"";""  256248"";""   85091"";""    6811"""
"364;""T001235"";""CR29  "";""2016JJ00"";""  658458"";""  311255"";""  340705"";""  251042"";""   89663"";""    6498"""
"365;""T001235"";""CR29  "";""2017JJ00"";""  659055"";""  312031"";""  340887"";""  250451"";""   90436"";""    6137"""
"366;""T001235"";""CR29  "";""2018JJ00"";""  662978"";""  314720"";""  341542"";""  250595"";""   90947"";""    6716"""
"368;""T001235"";""CR30  "";""2012JJ00"";""  170971"";""   98034"";""   71607"";""   57444"";""   14163"";""    1330"""
"369;""T001235"";""CR30  "";""2013JJ00"";""  171897"";""   98676"";""   72344"";""   57769"";""   14575"";""     877"""
"370;""T001235"";""CR30  "";""2014JJ00"";""  172968"";""   99510"";""   72462"";""   57185"";""   15277"";""     996"""
"371;""T001235"";""CR30  "";""2015JJ00"";""  173317"";""  100313"";""   71932"";""   56962"";""   14970"";""    1072"""
"372;""T001235"";""CR30  "";""2016JJ00"";""  174566"";""  101306"";""   72117"";""   56513"";""   15604"";""    1143"""
"373;""T001235"";""CR30  "";""2017JJ00"";""  175446"";""  102033"";""   72260"";""   56146"";""   16114"";""    1153"""
"374;""T001235"";""CR30  "";""2018JJ00"";""  176282"";""  103972"";""   71091"";""   55809"";""   15282"";""    1219"""
"376;""T001235"";""CR31  "";""2012JJ00"";""   54770"";""   37843"";""   16716"";""   10411"";""    6305"";""     211"""
"377;""T001235"";""CR31  "";""2013JJ00"";""   52759"";""   36635"";""   15981"";""   10419"";""    5562"";""     143"""
"378;""T001235"";""CR31  "";""2014JJ00"";""   53376"";""   36316"";""   16582"";""   10409"";""    6173"";""     478"""
"379;""T001235"";""CR31  "";""2015JJ00"";""   53523"";""   36537"";""   16529"";""   10376"";""    6153"";""     457"""
"380;""T001235"";""CR31  "";""2016JJ00"";""   53998"";""   36633"";""   16591"";""   10369"";""    6222"";""     774"""
"381;""T001235"";""CR31  "";""2017JJ00"";""   54029"";""   36472"";""   16857"";""   10345"";""    6512"";""     700"""
"382;""T001235"";""CR31  "";""2018JJ00"";""   54156"";""   36932"";""   16516"";""   10315"";""    6201"";""     708"""
