"Status van bewoning;""Regio's"";""Perioden"";""Totale woningvoorraad (aantal)"";""Koopwoningen (aantal)"";""Huurwoningen/Totaal huurwoningen (aantal)"";""Huurwoningen/Eigendom woningcorporatie (aantal)"";""Huurwoningen/Eigendom overige verhuurders (aantal)"";""Eigendom onbekend (aantal)"""
"Totaal;""Groot-Amsterdam (CR)"";""2020"";673400;267744;402927;238769;164158;2729"
"Totaal;""Het Gooi en Vechtstreek (CR)"";""2012"";109779;64901;44461;31928;12533;417"
"Totaal;""Het Gooi en Vechtstreek (CR)"";""2013"";111370;65547;45316;32028;13288;507"
"Totaal;""Het Gooi en Vechtstreek (CR)"";""2014"";113371;65697;46147;31653;14494;1527"
"Totaal;""Het Gooi en Vechtstreek (CR)"";""2015"";113978;66209;46153;31638;14515;1616"
"Totaal;""Het Gooi en Vechtstreek (CR)"";""2016"";114417;66788;46080;31380;14700;1549"
"Totaal;""Het Gooi en Vechtstreek (CR)"";""2017"";115819;67318;46714;31273;15441;1787"
"Totaal;""Het Gooi en Vechtstreek (CR)"";""2018"";116820;68465;46598;31222;15376;1757"
"Totaal;""Het Gooi en Vechtstreek (CR)"";""2019"";117642;70188;47054;31849;15205;400"
"Totaal;""Het Gooi en Vechtstreek (CR)"";""2020"";118642;70608;47664;32099;15565;370"
"Totaal;""Agglomeratie Leiden en Bollenstreek (CR)"";""2012"";176485;103101;71530;49942;21588;1854"
"Totaal;""Agglomeratie Leiden en Bollenstreek (CR)"";""2013"";178368;103828;73244;50708;22536;1296"
"Totaal;""Agglomeratie Leiden en Bollenstreek (CR)"";""2014"";180355;104154;74288;50716;23572;1913"
"Totaal;""Agglomeratie Leiden en Bollenstreek (CR)"";""2015"";181360;105898;73784;51144;22640;1678"
"Totaal;""Agglomeratie Leiden en Bollenstreek (CR)"";""2016"";184115;107132;74975;50896;24079;2008"
"Totaal;""Agglomeratie Leiden en Bollenstreek (CR)"";""2017"";186529;108306;75998;51166;24832;2225"
"Totaal;""Agglomeratie Leiden en Bollenstreek (CR)"";""2018"";187979;109089;76776;50915;25861;2114"
"Totaal;""Agglomeratie Leiden en Bollenstreek (CR)"";""2019"";190310;111437;77962;51661;26301;911"
"Totaal;""Agglomeratie Leiden en Bollenstreek (CR)"";""2020"";192562;112415;79355;51623;27732;792"
"Totaal;""Agglomeratie 's-Gravenhage (CR)"";""2012"";386048;185469;196462;125878;70584;4117"
"Totaal;""Agglomeratie 's-Gravenhage (CR)"";""2013"";390701;186407;199488;126732;72756;4806"
"Totaal;""Agglomeratie 's-Gravenhage (CR)"";""2014"";397755;187153;203075;126622;76453;7527"
"Totaal;""Agglomeratie 's-Gravenhage (CR)"";""2015"";399821;188139;204559;127332;77227;7123"
"Totaal;""Agglomeratie 's-Gravenhage (CR)"";""2016"";402939;189393;206014;125606;80408;7532"
"Totaal;""Agglomeratie 's-Gravenhage (CR)"";""2017"";405971;191412;208702;125422;83280;5857"
"Totaal;""Agglomeratie 's-Gravenhage (CR)"";""2018"";408338;192139;210127;124771;85356;6072"
"Totaal;""Agglomeratie 's-Gravenhage (CR)"";""2019"";412235;197102;212528;127140;85388;2605"
"Totaal;""Agglomeratie 's-Gravenhage (CR)"";""2020"";416557;197887;215691;127947;87744;2979"
"Totaal;""Delft en Westland (CR)"";""2012"";95991;49787;45231;35380;9851;973"
"Totaal;""Delft en Westland (CR)"";""2013"";96795;50497;45637;35216;10421;661"
"Totaal;""Delft en Westland (CR)"";""2014"";97579;50811;46104;35275;10829;664"
"Totaal;""Delft en Westland (CR)"";""2015"";99116;51691;46757;36693;10064;668"
"Totaal;""Delft en Westland (CR)"";""2016"";99898;52440;46662;36548;10114;796"
"Totaal;""Delft en Westland (CR)"";""2017"";100752;52581;47448;36548;10900;723"
"Totaal;""Delft en Westland (CR)"";""2018"";101327;53162;47508;35016;12492;657"
"Totaal;""Delft en Westland (CR)"";""2019"";102934;55365;47021;35256;11765;548"
"Totaal;""Delft en Westland (CR)"";""2020"";103871;55985;47411;35154;12257;475"
"Totaal;""Oost-Zuid-Holland (CR)"";""2012"";122399;75908;45805;34269;11536;686"
"Totaal;""Oost-Zuid-Holland (CR)"";""2013"";123787;76702;46562;34654;11908;523"
"Totaal;""Oost-Zuid-Holland (CR)"";""2014"";125372;77441;47196;34912;12284;735"
"Totaal;""Oost-Zuid-Holland (CR)"";""2015"";136298;84440;51004;37929;13075;854"
"Totaal;""Oost-Zuid-Holland (CR)"";""2016"";137258;85498;50900;37726;13174;860"
"Totaal;""Oost-Zuid-Holland (CR)"";""2017"";138937;86472;51493;37910;13583;972"
"Totaal;""Oost-Zuid-Holland (CR)"";""2018"";140730;88029;51780;37884;13896;921"
"Totaal;""Oost-Zuid-Holland (CR)"";""2019"";142405;90427;51804;37809;13995;174"
"Totaal;""Oost-Zuid-Holland (CR)"";""2020"";143879;91318;52370;37878;14492;191"
"Totaal;""Groot-Rijnmond (CR)"";""2012"";653552;308021;338935;259519;79416;6596"
"Totaal;""Groot-Rijnmond (CR)"";""2013"";657097;311134;341418;257988;83430;4545"
"Totaal;""Groot-Rijnmond (CR)"";""2014"";662068;313504;343208;256358;86850;5356"
"Totaal;""Groot-Rijnmond (CR)"";""2015"";657510;309360;341339;256248;85091;6811"
"Totaal;""Groot-Rijnmond (CR)"";""2016"";658458;311255;340705;251042;89663;6498"
"Totaal;""Groot-Rijnmond (CR)"";""2017"";659055;312031;340887;250451;90436;6137"
"Totaal;""Groot-Rijnmond (CR)"";""2018"";662978;314720;341542;250595;90947;6716"
"Totaal;""Groot-Rijnmond (CR)"";""2019"";665161;323905;339279;251873;87406;1977"
"Totaal;""Groot-Rijnmond (CR)"";""2020"";672375;326262;343927;252321;91606;2186"
