"Perioden;""Regio van vestiging"";""Regio van vertrek"";""Tussen gemeenten verhuisde personen (aantal)"""
"2019;""Oost-Groningen (CR)"";""Groot-Rijnmond (CR)"";106"
"2020;""Oost-Groningen (CR)"";""Groot-Rijnmond (CR)"";119"
"2011;""Oost-Groningen (CR)"";""Zuidoost-Zuid-Holland (CR)"";19"
"2012;""Oost-Groningen (CR)"";""Zuidoost-Zuid-Holland (CR)"";33"
"2013;""Oost-Groningen (CR)"";""Zuidoost-Zuid-Holland (CR)"";19"
"2014;""Oost-Groningen (CR)"";""Zuidoost-Zuid-Holland (CR)"";26"
"2015;""Oost-Groningen (CR)"";""Zuidoost-Zuid-Holland (CR)"";10"
"2016;""Oost-Groningen (CR)"";""Zuidoost-Zuid-Holland (CR)"";22"
"2017;""Oost-Groningen (CR)"";""Zuidoost-Zuid-Holland (CR)"";13"
"2018;""Oost-Groningen (CR)"";""Zuidoost-Zuid-Holland (CR)"";21"
"2019;""Oost-Groningen (CR)"";""Zuidoost-Zuid-Holland (CR)"";10"
"2020;""Oost-Groningen (CR)"";""Zuidoost-Zuid-Holland (CR)"";41"
"2011;""Oost-Groningen (CR)"";""Zeeuwsch-Vlaanderen (CR)"";3"
"2012;""Oost-Groningen (CR)"";""Zeeuwsch-Vlaanderen (CR)"";4"
"2013;""Oost-Groningen (CR)"";""Zeeuwsch-Vlaanderen (CR)"";6"
"2014;""Oost-Groningen (CR)"";""Zeeuwsch-Vlaanderen (CR)"";1"
"2015;""Oost-Groningen (CR)"";""Zeeuwsch-Vlaanderen (CR)"";0"
"2016;""Oost-Groningen (CR)"";""Zeeuwsch-Vlaanderen (CR)"";2"
"2017;""Oost-Groningen (CR)"";""Zeeuwsch-Vlaanderen (CR)"";1"
"2018;""Oost-Groningen (CR)"";""Zeeuwsch-Vlaanderen (CR)"";0"
"2019;""Oost-Groningen (CR)"";""Zeeuwsch-Vlaanderen (CR)"";1"
"2020;""Oost-Groningen (CR)"";""Zeeuwsch-Vlaanderen (CR)"";7"
"2011;""Oost-Groningen (CR)"";""Overig Zeeland (CR)"";36"
"2012;""Oost-Groningen (CR)"";""Overig Zeeland (CR)"";18"
"2013;""Oost-Groningen (CR)"";""Overig Zeeland (CR)"";12"
"2014;""Oost-Groningen (CR)"";""Overig Zeeland (CR)"";14"
"2015;""Oost-Groningen (CR)"";""Overig Zeeland (CR)"";23"
"2016;""Oost-Groningen (CR)"";""Overig Zeeland (CR)"";9"
"2017;""Oost-Groningen (CR)"";""Overig Zeeland (CR)"";17"
"2018;""Oost-Groningen (CR)"";""Overig Zeeland (CR)"";10"
"2019;""Oost-Groningen (CR)"";""Overig Zeeland (CR)"";25"
"2020;""Oost-Groningen (CR)"";""Overig Zeeland (CR)"";13"
"2011;""Oost-Groningen (CR)"";""West-Noord-Brabant (CR)"";25"
"2012;""Oost-Groningen (CR)"";""West-Noord-Brabant (CR)"";8"
"2013;""Oost-Groningen (CR)"";""West-Noord-Brabant (CR)"";19"
"2014;""Oost-Groningen (CR)"";""West-Noord-Brabant (CR)"";15"
"2015;""Oost-Groningen (CR)"";""West-Noord-Brabant (CR)"";20"
"2016;""Oost-Groningen (CR)"";""West-Noord-Brabant (CR)"";22"
"2017;""Oost-Groningen (CR)"";""West-Noord-Brabant (CR)"";18"
"2018;""Oost-Groningen (CR)"";""West-Noord-Brabant (CR)"";25"
"2019;""Oost-Groningen (CR)"";""West-Noord-Brabant (CR)"";24"
"2020;""Oost-Groningen (CR)"";""West-Noord-Brabant (CR)"";27"
