"ID;""RegioVanVestiging"";""RegioVanVertrek"";""Perioden"";""TussenGemeentenVerhuisdePersonen_1"""
"70415;""CR02  "";""CR01  "";""2018JJ00"";""     285"""
"70416;""CR02  "";""CR02  "";""2011JJ00"";""     565"""
"70417;""CR02  "";""CR02  "";""2012JJ00"";""     500"""
"70418;""CR02  "";""CR02  "";""2013JJ00"";""     509"""
"70419;""CR02  "";""CR02  "";""2014JJ00"";""     586"""
"70420;""CR02  "";""CR02  "";""2015JJ00"";""     580"""
"70421;""CR02  "";""CR02  "";""2016JJ00"";""     672"""
"70422;""CR02  "";""CR02  "";""2017JJ00"";""     660"""
"70423;""CR02  "";""CR02  "";""2018JJ00"";""     642"""
"70424;""CR02  "";""CR03  "";""2011JJ00"";""     649"""
"70425;""CR02  "";""CR03  "";""2012JJ00"";""     611"""
"70426;""CR02  "";""CR03  "";""2013JJ00"";""     641"""
"70427;""CR02  "";""CR03  "";""2014JJ00"";""     667"""
"70428;""CR02  "";""CR03  "";""2015JJ00"";""     676"""
"70429;""CR02  "";""CR03  "";""2016JJ00"";""     820"""
"70430;""CR02  "";""CR03  "";""2017JJ00"";""     772"""
"70431;""CR02  "";""CR03  "";""2018JJ00"";""     823"""
"70432;""CR02  "";""CR04  "";""2011JJ00"";""      37"""
"70433;""CR02  "";""CR04  "";""2012JJ00"";""      45"""
"70434;""CR02  "";""CR04  "";""2013JJ00"";""      48"""
"70435;""CR02  "";""CR04  "";""2014JJ00"";""      43"""
"70436;""CR02  "";""CR04  "";""2015JJ00"";""      41"""
"70437;""CR02  "";""CR04  "";""2016JJ00"";""      51"""
"70438;""CR02  "";""CR04  "";""2017JJ00"";""      42"""
"70439;""CR02  "";""CR04  "";""2018JJ00"";""      38"""
"70440;""CR02  "";""CR05  "";""2011JJ00"";""       6"""
"70441;""CR02  "";""CR05  "";""2012JJ00"";""       8"""
"70442;""CR02  "";""CR05  "";""2013JJ00"";""       0"""
"70443;""CR02  "";""CR05  "";""2014JJ00"";""       4"""
"70444;""CR02  "";""CR05  "";""2015JJ00"";""       7"""
"70445;""CR02  "";""CR05  "";""2016JJ00"";""      10"""
"70446;""CR02  "";""CR05  "";""2017JJ00"";""      29"""
"70447;""CR02  "";""CR05  "";""2018JJ00"";""       8"""
"70448;""CR02  "";""CR06  "";""2011JJ00"";""      31"""
"70449;""CR02  "";""CR06  "";""2012JJ00"";""      20"""
"70450;""CR02  "";""CR06  "";""2013JJ00"";""      14"""
"70451;""CR02  "";""CR06  "";""2014JJ00"";""      24"""
"70452;""CR02  "";""CR06  "";""2015JJ00"";""      13"""
"70453;""CR02  "";""CR06  "";""2016JJ00"";""      16"""
"70454;""CR02  "";""CR06  "";""2017JJ00"";""      14"""
"70455;""CR02  "";""CR06  "";""2018JJ00"";""      26"""
"70456;""CR02  "";""CR07  "";""2011JJ00"";""      51"""
"70457;""CR02  "";""CR07  "";""2012JJ00"";""      63"""
"70458;""CR02  "";""CR07  "";""2013JJ00"";""      42"""
"70459;""CR02  "";""CR07  "";""2014JJ00"";""      50"""
"70460;""CR02  "";""CR07  "";""2015JJ00"";""      50"""
"70461;""CR02  "";""CR07  "";""2016JJ00"";""      88"""
"70462;""CR02  "";""CR07  "";""2017JJ00"";""     189"""
"70463;""CR02  "";""CR07  "";""2018JJ00"";""      72"""
"70464;""CR02  "";""CR08  "";""2011JJ00"";""      23"""
"70465;""CR02  "";""CR08  "";""2012JJ00"";""      29"""
"70466;""CR02  "";""CR08  "";""2013JJ00"";""      23"""
"70467;""CR02  "";""CR08  "";""2014JJ00"";""      26"""
"70468;""CR02  "";""CR08  "";""2015JJ00"";""      21"""
"70469;""CR02  "";""CR08  "";""2016JJ00"";""      23"""
"70470;""CR02  "";""CR08  "";""2017JJ00"";""      17"""
"70471;""CR02  "";""CR08  "";""2018JJ00"";""      12"""
"70472;""CR02  "";""CR09  "";""2011JJ00"";""      12"""
"70473;""CR02  "";""CR09  "";""2012JJ00"";""      12"""
"70474;""CR02  "";""CR09  "";""2013JJ00"";""      14"""
"70475;""CR02  "";""CR09  "";""2014JJ00"";""      11"""
"70476;""CR02  "";""CR09  "";""2015JJ00"";""       6"""
"70477;""CR02  "";""CR09  "";""2016JJ00"";""      13"""
"70478;""CR02  "";""CR09  "";""2017JJ00"";""       5"""
"70479;""CR02  "";""CR09  "";""2018JJ00"";""       7"""
"70480;""CR02  "";""CR10  "";""2011JJ00"";""       9"""
"70481;""CR02  "";""CR10  "";""2012JJ00"";""      13"""
"70482;""CR02  "";""CR10  "";""2013JJ00"";""      11"""
"70483;""CR02  "";""CR10  "";""2014JJ00"";""      11"""
"70484;""CR02  "";""CR10  "";""2015JJ00"";""      14"""
"70485;""CR02  "";""CR10  "";""2016JJ00"";""      18"""
"70486;""CR02  "";""CR10  "";""2017JJ00"";""      14"""
