from_id,to_id,from,to,jobs,distance
14,25,Achterhoek (CR),Agglomeratie Leiden en Bollenstreek (CR),0.1,149.5
14,27,Achterhoek (CR),Delft en Westland (CR),0.1,158.4
15,1,Arnhem/Nijmegen (CR),Oost-Groningen (CR),0.1,175.2
15,2,Arnhem/Nijmegen (CR),Delfzijl en omgeving (CR),0.1,185.9
15,4,Arnhem/Nijmegen (CR),Noord-Friesland (CR),0.1,165.3
15,5,Arnhem/Nijmegen (CR),Zuidwest-Friesland (CR),0.1,142.8
15,7,Arnhem/Nijmegen (CR),Noord-Drenthe (CR),0.1,138.9
15,8,Arnhem/Nijmegen (CR),Zuidoost-Drenthe (CR),0.1,129.7
15,19,Arnhem/Nijmegen (CR),Alkmaar en omgeving (CR),0.1,133.8
15,20,Arnhem/Nijmegen (CR),IJmond (CR),0.1,124
15,22,Arnhem/Nijmegen (CR),Zaanstreek (CR),0.1,111.5
15,31,Arnhem/Nijmegen (CR),Zeeuwsch-Vlaanderen (CR),0.1,200.7
16,3,Zuidwest-Gelderland (CR),Overig Groningen (CR),0.1,192.7
16,11,Zuidwest-Gelderland (CR),Zuidwest-Overijssel (CR),0.1,85
16,20,Zuidwest-Gelderland (CR),IJmond (CR),0.1,97
16,21,Zuidwest-Gelderland (CR),Agglomeratie Haarlem (CR),0.1,86.2
16,27,Zuidwest-Gelderland (CR),Delft en Westland (CR),0.1,84.3
16,31,Zuidwest-Gelderland (CR),Zeeuwsch-Vlaanderen (CR),0.1,171.7
17,7,Utrecht (CR),Noord-Drenthe (CR),0.1,155
17,8,Utrecht (CR),Zuidoost-Drenthe (CR),0.1,145.9
17,31,Utrecht (CR),Zeeuwsch-Vlaanderen (CR),0.1,177.1
18,6,Kop van Noord-Holland (CR),Zuidoost-Friesland (CR),0.1,109.4
18,7,Kop van Noord-Holland (CR),Noord-Drenthe (CR),0.1,148.4
18,8,Kop van Noord-Holland (CR),Zuidoost-Drenthe (CR),0.1,167.1
18,9,Kop van Noord-Holland (CR),Zuidwest-Drenthe (CR),0.1,129.7
18,12,Kop van Noord-Holland (CR),Twente (CR),0.1,160.2
18,14,Kop van Noord-Holland (CR),Achterhoek (CR),0.1,157.4
18,37,Kop van Noord-Holland (CR),Noord-Limburg (CR),0.1,201.4
18,38,Kop van Noord-Holland (CR),Midden-Limburg (CR),0.1,207.1
18,39,Kop van Noord-Holland (CR),Zuid-Limburg (CR),0.1,250.5
19,3,Alkmaar en omgeving (CR),Overig Groningen (CR),0.1,161.3
19,4,Alkmaar en omgeving (CR),Noord-Friesland (CR),0.1,104.9
19,5,Alkmaar en omgeving (CR),Zuidwest-Friesland (CR),0.1,96.8
19,10,Alkmaar en omgeving (CR),Noord-Overijssel (CR),0.1,119.6
19,12,Alkmaar en omgeving (CR),Twente (CR),0.1,170.3
19,16,Alkmaar en omgeving (CR),Zuidwest-Gelderland (CR),0.1,109.6
19,27,Alkmaar en omgeving (CR),Delft en Westland (CR),0.1,89.8
19,32,Alkmaar en omgeving (CR),Overig Zeeland (CR),0.1,160
19,35,Alkmaar en omgeving (CR),Noordoost-Noord-Brabant (CR),0.1,130.8
19,39,Alkmaar en omgeving (CR),Zuid-Limburg (CR),0.1,231.4
20,12,IJmond (CR),Twente (CR),0.1,164.3
20,16,IJmond (CR),Zuidwest-Gelderland (CR),0.1,93.6
20,27,IJmond (CR),Delft en Westland (CR),0.1,65.2
20,30,IJmond (CR),Zuidoost-Zuid-Holland (CR),0.1,90.6
